ID,Vendor,Wine,Region,Country,Vintage,Category,Vendor Wines,Size,Alcohol Volume,Slug,wineType,grapeVarieties,Sweetness,Freshness,Texture,fruitNotes,herbalNotes,mineralNotes,nuttyNotes,ageingNotes,Distributor,Cost ex Vat,Suggested Price,List Price,Barcode,SKU,Handle,Tags,Backorder,Name (from Distributor),Name (from Vendor),Vendor ID (from Vendor),Wine Count
130,Mansus,"Dimenzija, Klarnica",Vipavska Dolina,Slovenija,2018,Belo,1,750,"13,00%",mansus-dimenzija-klarnica-2018-750ml,Belo,Klarnica,0,,,,,,,,Koželj,"€18,80","€29,82","28,99",,30080001,mansus-dimenzija-klarnica-2018-750ml,"Belo,Vipavska Dolina,Slovenija",checked,Koželj,Mansus,0080,001
131,Mansus,Marse,Vipavska Dolina,Slovenija,2017,Rdeče,2,750,"12,50%",mansus-marse-2017-750ml,Rdeče,Marselan,0,,,,,,,,Koželj,"€8,91","€14,13","17,99",,40080002,mansus-marse-2017-750ml,"Rdeče,Vipavska Dolina,Slovenija",checked,Koželj,Mansus,0080,002
132,Batič,Rose,Vipavska Dolina,Slovenija,2024,Rose,2,750,"12,50%",batic-rose-2024-750ml,Rose,"Cabernet Sauvignon,Merlot",2,,,,,,,,Koželj,"€13,70","€21,73","24,99",,20003002,batic-rose-2024-750ml,"Rose,Vipavska Dolina,Slovenija",checked,Koželj,Batič,0003,002
133,Rodica,Malvazija,Istra,Slovenija,2022,Belo,2,750,"13,50%",rodica-malvazija-2022-750ml,Belo,Malvasia,0,,,,,,,,Koželj,"€10,33","€16,38","16,99",,30051002,rodica-malvazija-2022-750ml,"Belo,Istra,Slovenija",checked,Koželj,Rodica,0051,002
134,Čarga,Jakot,Goriška Brda,Slovenija,2021,Belo,1,750,"13,00%",carga-jakot-2021-750ml,Belo,Friulano,0,,,,,,,,Čarga,"€8,40","€13,32","13,99",,30081001,carga-jakot-2021-750ml,"Belo,Goriška Brda,Slovenija",checked,Čarga,Čarga,0081,001
135,Čarga,Cabernet Franc,Goriška Brda,Slovenija,2020,Rdeče,2,750,"13,50%",carga-cabernet-franc-2020-750ml,Rdeče,Cabernet Franc,0,,,,,,,,Čarga,"€12,60","€19,98","18,99",,40081002,carga-cabernet-franc-2020-750ml,"Rdeče,Goriška Brda,Slovenija",checked,Čarga,Čarga,0081,002
137,Sinefinis,Blanc de Blancs,Goriška Brda,Slovenija,2019,Mehurčki,1,750,"12,50%",sinefinis-blanc-de-blancs-2019-750ml,Mehurčki,Chardonnay,0,5,3,2,1,4,2,2,EVino,"€16,15","€25,61","27,99",8053251511049,10083001,sinefinis-blanc-de-blancs-2019-750ml,"Mehurčki,Goriška Brda,Collio-Friuli,Slovenija,Italija",checked,EVino,Sinefinis,0083,001
138,Nicolas Rossignol,Aligote de Bourgogne,Bourgogne,Francija,2021,Belo,1,750,"13,00%",nicolas-rossignol-aligote-de-bourgogne-2021-750ml,Belo,Aligote,0,5,2,3,3,4,1,1,EVino,"€25,00","€39,65","39,99",1199356987857,30084001,nicolas-rossignol-aligote-de-bourgogne-2021-750ml,"Belo,Bourgogne,Francija",checked,EVino,Nicolas Rossignol,0084,001
139,Burja,Bela,Vipavska Dolina,Slovenija,2023,Belo,3,750,"13,00%",burja-bela-2023-750ml,Belo,"Malvasia,Welschriesling,Ribolla Gialla,Secret Blend",0,4,4,4,2,2,0,0,EVino,"€11,73","€18,60","18,99",3830053682703,30005003,burja-bela-2023-750ml,"Belo,Vipavska Dolina,Slovenija",checked,EVino,Burja,0005,003
140,Blažič,Cabernet Sauvignon ,Goriška Brda,Slovenija,2022,Rdeče,1,750,"13,00%",blazic-cabernet-sauvignon--2022-750ml,Rdeče,Cabernet Sauvignon,1,3,5,4,4,0,2,2,EVino,"€8,50","€13,48","15,99",3830075550066,40085001,blazic-cabernet-sauvignon--2022-750ml,"Rdeče,Goriška Brda,Slovenija",checked,EVino,Blažič,0085,001
